Nick                          S34     S33     S32     S31     S30     S29     S28     S27     S26     S25     S24     S23     S22     S21     S20     S19     S18     S17     S16     S15     S14     S13     S12     S11     S10      S9      S8      S7      S6      S5      S4      S3      S2      S1
Canis                      2104.4  2104.4  2104.4  2104.4  2104.4  2122.2  2142.3  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1  2096.1
adago09                    2093.9  2093.9  2093.9  2093.9  2093.9  2093.9  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2094.0  2093.9  2093.9  2093.9  2093.9  2093.9  2093.9  2093.9
Ronin                      2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2  2088.2
okowoko                    2087.9  2087.9  2087.9  2087.9  2087.9  2087.9  2087.8  2087.8  2087.8  2087.8  2087.8  2150.2  2088.3  2070.4  2076.5  2076.5  2076.5  2076.5  2076.5  2076.5  2076.5  2076.5  2076.5  2076.5  2076.5  2076.5  2076.5  2076.5  2076.5  2076.6  2076.6  2076.6  2076.6  2076.6
kgrZG                      2080.2  2063.5  2011.3  2019.2  1986.6  1971.6  1955.3  1988.3  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4  1966.4
patpanda                   2078.1  2078.1  2078.1  2078.1  2078.1  2078.1  2078.1  2078.1  2078.1  2078.1  2078.1  2109.1  2096.5  2083.8  2071.2  2058.5  2045.9  2112.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8
tonyhalik                  2073.2  2073.2  2073.2  2073.2  2073.2  2073.2  2073.2  2073.2  2073.2  2073.2  2073.2  2073.2  2073.2  2073.2  2073.2  2073.2  2073.1  2073.1  2073.1  2073.1  2073.1  2073.1  2073.2  2073.2  2073.2  2073.2  2103.9  2134.7  2165.4  2196.1  2193.3  2170.2  2136.3  2136.3
yakcyll                    2071.3  2148.6  2152.6  2156.5  2160.4  2164.4  2168.3  2172.2  2176.1  2180.1  2184.0  2187.9  2191.8  2195.8  2199.7  2203.6  2207.5  2211.5  2215.4  2219.3  2223.2  2227.1  2231.1  2235.0  2242.5  2249.9  2257.4  2264.9  2295.0  2325.1  2325.1  2325.1  2325.1  2325.1
Steviiy                    2067.8  2067.8  2067.8  2067.8  2067.8  2067.8  2067.8  2116.2  2128.3  2140.4  2152.6  2164.7  2176.8  2189.0  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.8  2179.9  2179.9  2179.9  2179.9  2179.9  2179.9  2179.9  2179.9
PawelD                     2064.7  2064.7  2064.7  2064.7  2064.7  2076.7  2130.2  2202.4  2198.0  2239.4  2271.7  2275.6  2294.2  2268.6  2222.2  2229.6  2255.2  2287.3  2347.3  2320.8  2250.6  2232.9  2120.3  2088.3  2088.4  2088.4  2088.5  2088.5  2088.6  2088.6  2088.7  2088.7  2088.7  2088.7
Qoryl                      2058.7  2058.7  2058.7  2058.7  2105.3  2059.8  2041.0  2043.8  2088.7  2075.7  2050.7  2059.3  2079.5  2112.0  2156.4  2156.1  2171.9  2071.9  2046.7  2084.0  2111.6  2079.1  2130.2  2225.3  2225.3  2225.3  2225.3  2225.3  2225.3  2225.3  2225.4  2225.4  2225.4  2225.4
Minewen                    2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6  2036.6
Alex                       2036.5  2036.5  2036.5  2036.5  2036.5  2036.5  2036.5  2036.5  2036.5  2036.5  2036.5  2036.5  2036.5  2036.5  2061.2  2085.8  2110.5  2110.5  2110.5  2110.5  2110.5  2110.5  2110.5  2110.5  2110.5  2110.5  2110.5  2110.5  2110.5  2110.5  2110.5  2110.5  2110.5  2110.5
bavalance                  2031.1  2031.1  2031.1  2031.1  2031.1  2035.1  2105.0  2060.5  2095.8  2152.5  2157.1  2175.7  2142.9  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.1  2081.2  2081.2
Koniu                      2029.1  2024.3  2019.4  2067.2  1954.9  1930.0  1875.5  1859.5  1859.5  1859.5  1859.5  1859.4  1859.4  1859.4  1859.4  1859.4  1859.4  1859.4  1859.4  1859.4  1859.4  1859.4  1859.4  1859.5  1859.5  1859.5  1859.5  1859.5  1859.5  1859.5  1859.6  1859.6  1859.6  1859.6
Kamilos                    2019.9  2019.9  2019.9  2019.9  2019.9  2019.8  2069.8  2070.0  2092.4  2114.9  2137.3  2159.7  2117.6  2118.7  2119.7  2120.7  2121.7  2122.7  2138.2  2128.2  2124.9  2074.3  2102.6  2096.1  2089.5  2083.0  2082.9  2082.9  2082.8  2082.7  2082.6  2082.6  2082.5  2082.5
Mandos                     2016.6  2016.6  2016.6  2016.6  2016.6  2016.7  2016.7  2016.7  2016.7  2016.7  2016.6  2016.6  2016.6  2016.6  2016.6  2016.6  2016.6  2016.7  2016.7  2016.7  2016.7  2016.7  2016.7  2016.6  2016.6  2016.6  2016.6  2016.6  2016.6  2016.6  2016.7  2016.7  2016.7  2016.7
ToadDrago                  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2051.7  2106.5  2152.4  2152.4  2152.4  2152.4  2152.4  2152.4  2152.4  2152.4  2152.4  2152.4  2152.4  2152.4  2152.5  2152.5  2152.5  2152.4  2152.4  2152.4  2152.4  2152.4
pawel.barszcz83@gmail.com  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2016.0  2003.3  2041.0  2004.0  2045.1  2051.4  2057.6  2063.9  2070.2  2070.2  2070.2  2070.2  2070.2  2070.2  2070.2  2070.2  2070.2
Samick                     2012.1  2012.1  2012.1  2012.1  2012.1  2012.1  2012.0  2012.0  2012.1  2027.0  2051.2  2052.6  2089.0  2153.5  2131.3  2144.6  2114.7  2143.4  2098.2  2086.1  2086.1  2086.1  2086.1  2086.1  2086.1  2086.1  2086.1  2086.1  2086.1  2086.1  2086.1  2086.1  2086.1  2086.2
kyouken                    2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7  2009.7
Mehameka                   2006.7  1987.4  1968.1  1948.7  1985.9  2013.6  1977.2  1907.2  1907.2  1907.2  1907.2  1907.1  1907.1  1907.1  1907.1  1907.1  1907.1  1907.1  1907.1  1907.1  1907.1  1907.1  1907.1  1907.2  1907.2  1907.2  1907.2  1907.2  1907.2  1907.2  1907.2  1907.2  1907.2  1907.2
arnoldm                    1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  1995.4  2055.4  2096.6  2137.9  2117.7  2086.8  2086.8  2086.8  2086.8  2086.8  2086.8  2086.8  2086.8  2086.8  2086.8  2086.8
Yaryk1111_                 1982.3  1947.4  1925.7  1936.2  1946.8  1937.0  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.7  1902.8  1902.8  1902.7  1902.7  1902.7
Vanilla                    1977.8  1977.8  1988.4  2023.1  1975.4  2008.5  2035.4  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8  2004.8
Jarek                      1975.7  1975.7  1990.3  2048.1  2092.5  2137.0  2181.4  2225.8  2273.1  2281.2  2240.6  2209.8  2117.4  2099.4  2099.4  2099.4  2099.4  2099.4  2099.4  2099.4  2099.4  2099.4  2099.4  2099.4  2099.4  2099.5  2099.5  2099.5  2099.5  2099.5  2099.5  2099.5  2099.5  2099.5
dariatka                   1966.7  1966.7  1966.7  1966.7  1966.7  1966.7  1966.7  1924.3  1942.7  1961.1  1979.5  1997.9  2016.3  2034.7  2053.1  2071.5  2089.9  2108.3  2126.7  2145.1  2163.5  2181.9  2231.1  2209.2  2169.5  2129.8  2144.7  2144.6  2144.6  2144.5  2144.5  2144.4  2144.4  2144.4
Namban                     1960.2  1960.2  1960.2  1960.2  1960.2  1960.2  1960.2  1960.2  1960.2  1973.0  1998.2  2017.3  2036.3  2055.3  2074.3  2093.3  2112.3  2131.3  2150.3  2169.3  2188.3  2207.3  2233.0  2233.1  2233.1  2233.1  2233.1  2233.1  2233.1  2233.1  2233.1  2233.1  2233.1  2233.1
est                        1959.1  1933.0  1957.2  1929.5  1915.5  1867.7  1841.4  1867.9  1860.3  1765.9  1763.2  1744.8  1746.6  1670.4  1584.7  1542.2  1454.8  1417.1  1417.1  1417.2  1417.2  1417.2  1417.2  1417.2  1417.2  1417.2  1417.2  1417.2  1417.2  1417.2  1417.2  1417.2  1417.2  1417.2
godeon                     1958.9  1953.9  1953.7  1960.1  1966.6  1973.0  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.6  1964.5  1964.5  1964.5  1964.5
Violeta                    1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6  1953.6
Mariusz                    1944.7  1906.6  1898.9  1899.0  1957.4  1905.6  1892.9  1872.6  1918.6  1886.5  1886.6  1886.6  1886.6  1886.6  1886.6  1886.6  1886.6  1886.6  1886.6  1886.6  1886.6  1886.6  1886.6  1886.6  1886.6  1886.6  1886.7  1886.7  1886.7  1886.7  1886.7  1886.7  1886.7  1886.7
Boriss                     1939.2  1935.4  1932.8  1971.8  2005.1  2038.5  2087.4  2120.3  2100.0  2131.7  2115.8  2066.3  2042.6  2028.1  2036.4  2071.3  2059.9  2032.2  2032.3  2032.3  2032.3  2032.3  2032.3  2032.3  2032.3  2032.3  2032.3  2032.3  2032.3  2032.3  2032.3  2032.3  2032.3  2032.3
karola                     1927.0  1927.0  1927.0  1927.0  1927.0  1927.0  1927.1  1927.1  1927.1  1927.1  1927.0  1927.0  1927.0  1927.0  1927.0  1927.1  1927.1  1924.9  1948.9  1981.2  1954.8  1974.9  1974.9  1974.9  1974.8  1974.8  1974.8  1974.8  1974.8  1974.8  1974.8  1974.8  1974.8  1974.8
Greg                       1923.3  1923.3  1923.3  1923.3  1923.3  1923.3  1923.3  1933.9  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6  1938.6
Tarko42                    1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8  1920.8
MrPast4                    1910.0  1910.0  1910.0  1910.0  1910.0  1910.0  1910.0  1912.7  1972.8  1952.3  1934.0  1886.6  1885.8  1885.8  1885.8  1885.7  1885.7  1885.8  1885.8  1885.8  1885.8  1885.8  1885.8  1885.8  1885.8  1885.8  1885.8  1885.8  1885.8  1885.8  1885.8  1885.8  1885.9  1885.9
michalu                    1897.9  1897.9  1897.9  1897.9  1897.9  1897.9  1897.9  1897.9  1897.9  1897.9  1897.9  1897.9  1872.4  1786.0  1806.9  1771.9  1779.7  1779.7  1779.7  1779.7  1779.7  1779.7  1779.7  1779.7  1779.7  1779.7  1779.7  1779.7  1779.7  1779.8  1779.8  1779.8  1779.8  1779.8
jolmenik                   1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1896.6  1886.6  1876.7  1866.7  1856.8  1884.7  1884.7  1884.7  1884.7  1884.7  1884.7  1884.7  1884.7  1884.7  1884.7  1884.7
dalock                     1870.3  1870.3  1898.6  1919.5  1967.7  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0  2012.0
TheOldMan                  1861.0  1861.0  1861.0  1862.8  1864.6  1866.4  1868.2  1870.0  1871.8  1873.6  1875.4  1877.1  1921.8  1960.0  1934.4  1934.4  1934.4  1934.4  1934.4  1934.4  1934.4  1934.4  1934.4  1934.4  1934.4  1934.4  1934.4  1934.4  1934.4  1934.5  1934.5  1934.5  1934.5  1934.5
lina2002                   1855.9  1855.9  1855.9  1855.9  1855.9  1855.9  1855.9  1855.9  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1856.0  1855.9  1855.9  1855.9  1855.9  1855.9  1855.9
Amongus Genduch            1840.6  1807.9  1745.1  1780.9  1791.0  1801.0  1811.0  1821.1  1831.1  1841.1  1808.5  1760.7  1760.7  1760.7  1760.7  1760.7  1760.7  1760.7  1760.7  1760.7  1760.7  1760.7  1760.7  1760.7  1760.7  1760.7  1760.7  1760.8  1760.8  1760.8  1760.8  1760.8  1760.8  1760.8
doremix                    1837.2  1834.7  1825.0  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3  1783.3
Valgeria                   1832.9  1832.9  1832.9  1832.9  1832.9  1832.9  1832.9  1832.9  1833.0  1833.0  1833.0  1833.0  1833.0  1833.0  1833.0  1833.0  1833.0  1833.0  1833.0  1833.0  1833.0  1833.0  1833.0  1833.0  1832.9  1832.9  1832.9  1832.9  1832.9  1832.9  1832.9  1832.9  1832.9  1832.9
doqpob                     1832.3  1832.3  1832.3  1832.3  1832.3  1832.3  1832.3  1832.3  1832.3  1881.4  1881.3  1881.2  1881.2  1881.2  1881.2  1881.2  1881.2  1881.2  1881.2  1881.2  1881.2  1881.2  1881.2  1881.2  1881.2  1881.3  1881.3  1881.3  1881.3  1881.3  1881.3  1881.3  1881.3  1881.3
Oyasumi                    1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1  1829.1
Crispy                     1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0  1815.0
Toki85                     1814.4  1814.4  1814.4  1814.4  1814.5  1814.5  1814.5  1814.5  1814.5  1814.5  1814.5  1814.5  1814.5  1814.5  1792.0  1770.9  1749.8  1749.8  1749.8  1749.8  1749.8  1749.8  1749.8  1749.8  1749.8  1749.8  1749.7  1749.7  1749.7  1749.7  1749.7  1749.7  1749.7  1749.7
excusemiai                 1810.5  1810.5  1810.5  1810.5  1810.5  1810.6  1810.6  1810.6  1810.6  1810.6  1810.6  1810.6  1810.6  1810.6  1844.9  1844.0  1843.0  1831.4  1823.3  1823.3  1823.3  1823.3  1823.3  1823.3  1823.3  1823.3  1823.2  1823.2  1823.2  1823.2  1823.2  1823.2  1823.2  1823.2
zefciu                     1804.2  1804.6  1800.7  1825.0  1846.4  1848.8  1858.0  1926.7  1982.1  1964.5  1987.9  2000.1  1969.7  1955.0  1968.9  1988.8  2040.3  2096.4  2111.4  2153.2  2162.6  2177.9  2199.9  2132.5  2132.5  2132.5  2132.5  2132.5  2132.4  2132.4  2132.4  2132.4  2132.4  2132.4
zabry                      1789.6  1809.1  1828.4  1896.6  1878.6  1873.8  1879.8  1866.2  1854.3  1854.3  1863.2  1893.5  1875.9  1910.3  1935.1  1881.6  1863.4  1880.6  1933.0  1958.2  1987.1  1987.1  1987.1  1987.1  1987.1  1987.1  1987.1  1987.1  1987.1  1987.1  1987.1  1987.1  1987.2  1987.2
NikaZG                     1787.4  1804.8  1789.6  1712.7  1660.8  1581.5  1620.3  1586.1  1611.1  1630.3  1611.6  1632.1  1677.4  1713.5  1691.8  1608.4  1566.6  1566.6  1566.6  1566.6  1566.6  1566.7  1566.7  1566.7  1566.7  1566.7  1566.7  1566.7  1566.7  1566.7  1566.7  1566.7  1566.7  1566.7
deidaraimu                 1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4  1776.4
Szymekk                    1769.7  1769.7  1769.7  1769.7  1769.6  1769.6  1769.6  1774.5  1778.2  1792.4  1831.3  1870.7  1943.4  1930.2  1854.1  1832.6  1839.1  1839.1  1839.1  1839.1  1839.1  1839.1  1839.1  1839.1  1839.1  1839.1  1839.2  1839.2  1839.2  1839.2  1839.2  1839.2  1839.2  1839.2
ojmarcin                   1764.3  1764.3  1764.3  1764.3  1764.3  1776.9  1789.5  1802.1  1814.7  1788.2  1773.3  1771.4  1769.5  1834.8  1852.2  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5  1843.5
OgrzesiekO                 1747.6  1747.6  1747.6  1747.6  1747.6  1747.6  1747.6  1747.7  1747.7  1747.7  1747.7  1747.7  1747.7  1747.7  1747.7  1776.9  1758.5  1758.5  1758.5  1758.5  1758.5  1758.5  1758.5  1758.5  1758.5  1758.5  1758.5  1758.5  1758.4  1758.4  1758.4  1758.4  1758.4  1758.4
Balazs                     1723.1  1723.1  1723.1  1723.1  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.0  1723.1
JacobSP                    1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.9  1716.8  1716.8  1716.8
cerankas                   1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1717.7  1724.5  1758.4  1797.2  1797.2  1797.2  1797.2  1797.2  1797.2  1797.2  1797.2  1797.2  1797.2  1797.1  1797.1  1797.1
zhuren314                  1711.4  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0  1728.0
KNYF                       1708.1  1708.1  1708.1  1708.2  1708.2  1708.2  1708.2  1708.2  1708.2  1708.2  1708.2  1708.2  1708.2  1708.2  1708.2  1708.3  1708.3  1758.3  1724.6  1719.8  1684.9  1593.4  1548.7  1548.7  1548.7  1548.7  1548.7  1548.7  1548.7  1548.6  1548.6  1548.6  1548.6  1548.6
Juno                       1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3  1701.3
gerrysw11                  1698.2  1722.4  1766.7  1731.4  1738.6  1751.7  1710.7  1731.4  1635.4  1682.2  1644.7  1650.2  1694.6  1694.6  1694.6  1694.5  1694.6  1694.6  1694.6  1694.6  1694.6  1694.6  1694.6  1694.6  1694.6  1694.6  1694.6  1694.6  1694.6  1694.6  1694.6  1694.6  1694.7  1694.7
BlackSpark                 1698.2  1698.2  1751.2  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4  1808.4
Bayzoner                   1697.2  1697.2  1697.2  1697.2  1697.2  1697.3  1697.3  1697.3  1697.3  1697.3  1697.3  1697.3  1697.3  1697.3  1697.3  1697.3  1721.9  1734.5  1743.2  1738.4  1721.3  1721.3  1721.3  1721.3  1721.3  1721.2  1721.2  1721.2  1721.2  1721.2  1721.2  1721.2  1721.2  1721.2
Mithirii                   1695.9  1672.4  1710.3  1748.1  1785.9  1823.8  1861.6  1886.2  1826.3  1761.8  1789.1  1749.3  1647.1  1590.5  1564.0  1585.6  1607.2  1628.8  1631.2  1657.7  1682.4  1682.4  1682.4  1682.4  1682.4  1682.4  1682.4  1682.4  1682.4  1682.5  1682.5  1682.5  1682.5  1682.5
halcio                     1692.2  1752.2  1759.6  1766.1  1792.9  1777.0  1727.1  1749.0  1770.9  1792.8  1770.0  1740.1  1731.5  1731.5  1731.5  1731.5  1731.5  1731.5  1731.5  1731.5  1731.5  1731.5  1731.5  1731.5  1731.5  1731.5  1731.5  1731.5  1731.5  1731.5  1731.6  1731.6  1731.6  1731.6
azoiuch                    1687.3  1687.3  1687.3  1687.3  1687.3  1687.3  1687.3  1687.3  1687.3  1687.3  1687.4  1687.4  1687.4  1687.4  1687.4  1687.4  1687.4  1687.4  1687.4  1704.1  1728.4  1728.4  1728.4  1728.4  1728.4  1728.4  1728.4  1728.4  1728.4  1728.4  1728.3  1728.3  1728.3  1728.3
mokotower                  1683.2  1683.2  1683.2  1683.2  1683.2  1683.2  1683.2  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1702.0  1727.4  1727.4  1727.4  1727.4  1727.4  1727.4  1727.4  1727.3  1727.3  1727.3  1727.3  1727.3  1727.3  1727.3
doc37                      1683.0  1683.0  1683.0  1683.0  1683.0  1683.0  1708.7  1765.7  1738.9  1735.5  1694.7  1632.7  1597.7  1582.5  1607.5  1676.4  1714.0  1714.0  1714.0  1714.0  1714.0  1714.0  1714.0  1714.1  1714.1  1714.1  1714.1  1714.1  1714.1  1714.1  1714.1  1714.1  1714.1  1714.1
sir_husky_potato           1680.3  1680.4  1680.4  1680.4  1680.4  1680.4  1680.4  1680.4  1680.5  1680.5  1680.5  1680.5  1680.5  1680.5  1680.6  1681.5  1691.8  1691.8  1691.7  1691.7  1691.7  1691.7  1691.7  1691.7  1691.7  1691.6  1691.6  1691.6  1691.6  1691.6  1691.6  1691.6  1691.5  1691.5
Professor_Snape            1679.0  1679.0  1679.0  1679.0  1678.9  1730.1  1656.2  1622.2  1669.2  1667.0  1661.2  1620.2  1681.5  1718.0  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4  1737.4
urtok                      1668.0  1668.0  1668.0  1668.0  1668.0  1668.0  1668.0  1668.0  1694.8  1721.6  1748.5  1775.3  1802.2  1829.0  1855.8  1882.7  1900.7  1887.8  1900.8  1911.1  1936.0  1936.0  1936.0  1936.0  1936.0  1936.0  1936.1  1936.1  1936.1  1936.1  1936.1  1936.1  1936.1  1936.1
jest                       1664.6  1664.6  1664.6  1664.6  1664.6  1638.8  1666.0  1642.3  1663.3  1684.3  1705.3  1726.3  1747.3  1723.4  1750.6  1745.0  1776.3  1776.3  1776.3  1776.3  1776.3  1776.3  1776.3  1776.3  1776.3  1776.3  1776.3  1776.3  1776.3  1776.4  1776.4  1776.4  1776.4  1776.4
Mar                        1658.0  1658.0  1658.0  1658.0  1658.0  1658.0  1658.0  1658.0  1655.6  1625.8  1625.8  1659.6  1686.7  1764.5  1746.5  1755.7  1709.8  1731.5  1753.3  1775.1  1803.4  1801.3  1801.3  1801.3  1801.3  1801.3  1801.3  1801.3  1801.3  1801.3  1801.3  1801.3  1801.3  1801.3
Serafin                    1655.1  1655.1  1655.1  1655.1  1655.1  1655.1  1655.2  1655.2  1655.2  1655.2  1655.3  1655.3  1655.3  1655.3  1655.3  1655.3  1655.4  1655.4  1655.4  1655.3  1655.3  1655.3  1655.3  1655.3  1655.3  1655.2  1655.2  1655.2  1655.2  1655.2  1655.1  1655.1  1655.1  1655.1
meduz                      1650.7  1650.7  1650.7  1650.7  1650.7  1650.7  1650.7  1650.7  1701.3  1751.8  1802.4  1852.9  1821.1  1816.2  1811.2  1865.3  1840.0  1829.1  1814.9  1763.5  1721.2  1749.0  1749.0  1749.0  1749.0  1749.0  1749.0  1749.0  1749.0  1749.0  1749.0  1749.0  1749.0  1749.0
